_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_verify_relationship,_worker_confidence,verify_relationship_gold,verify_relationship_gold_reason,worker_confidence_gold,worker_confidence_gold_reason,disease_id,disease_name,drug_id,drug_name,form_sentence,pmid,uniq_id,comment_box_gold_reason
759284721,0.20,25,false,"",0.0,,"","",yes_direct,"The sentence starts out saying that the link between sirolimus and proteinuria was unknown before, but later says that now they saw patients developing proteinuria after receiving sirolimus.","very_confident
confident
not_too_confident
not_confident","",D011507,"<span class=""disease"">proteinuria</span>",D020123,"<span class=""chemical"">sirolimus</span>","Whether <span class=""disease"">proteinuria</span> was due to <span class=""chemical"">sirolimus</span> or only a consequence of calcineurin inhibitors withdrawal remained unsolved until high range <span class=""disease"">proteinuria</span> has been observed during <span class=""chemical"">sirolimus</span> therapy in islet transplantation and in patients who received <span class=""chemical"">sirolimus</span> de novo.",18631865,bcv_easy_147,""
759284841,0.21,28,false,"I'm sorry, but this isn't really logical, the renal failure could be coincidental. We aren't told how many people didn't develop the necrosis in the same circumstances. ",0.0357,,"","",yes_direct,"Two people developed acute tubular necrosis when they took two drugs, cephalothin sodium and gentamicin sulfate. Remember that if a drug is working in combination with another drug, then you should mark it as directly contributing to the disease.","very_confident
confident
not_too_confident
not_confident","",D007683,"<span class=""disease"">acute tubular necrosis</span>",D002512,"<span class=""chemical"">cephalothin sodium</span>","Two patients developed <span class=""disease"">acute tubular necrosis</span>, characterized clinically by acute oliguric renal failure, while they were receiving a combination of <span class=""chemical"">cephalothin sodium</span> and gentamicin sulfate therapy.",1130930,bcv_easy_152,""
759285044,0.55,20,false,"",0.0,,"","",yes_indirect,"Carmofur causes leukoencephalopathy. Leukoencephalopathy can also cause organic personality syndrome. Therefore carmofur is acting indirectly by first causing leukoencephalopathy, and leukoencephalopathy causes organic personality syndrome.","very_confident
confident
not_too_confident
not_confident","",D010554,"<span class=""disease"">organic personality syndrome</span>",C017367,"<span class=""chemical"">carmofur</span>","Consequently, <span class=""chemical"">carmofur</span>-induced leukoencephalopathy may uncommonly result in <span class=""disease"">organic personality syndrome</span> in the residual state.",2096243,bcv_easy_132,""
759286190,0.44,25,false,"THAT'S NOT FAIR COME ON, how can i know that originally fanft caused carcinoma? it isn't written anywhere, i can't imagine it
How can i know that originally fanft caused carcinoma? it isn't written anywhere",0.08,,"","",yes_direct,Giving FANFT together with aspirin decreases the bladder carcinomas which were originally caused by FANFT itself. Therefore FANFT is directly causing bladder carcinomas.,"very_confident
confident
not_too_confident
not_confident","",D001749,"<span class=""disease"">bladder carcinomas</span>",D005200,"<span class=""chemical"">FANFT/N-[4-(5-nitro-2-furyl)-2-thiazolyl]-formamide</span>","The co-administration of aspirin with <span class=""chemical"">N-[4-(5-nitro-2-furyl)-2-thiazolyl]-formamide</span> (<span class=""chemical"">FANFT</span>) to rats resulted in a reduced incidence of <span class=""chemical"">FANFT</span>-induced <span class=""disease"">bladder carcinomas</span> but a concomitant induction of forestomach tumors.",6692345,bcv_easy_141,""
759293562,0.44,27,false,"Spironolactone-induced renal insufficiency and hyperkalemia, option 2  Spironolactone contributes to another disease, and that other disease causes heart failure is correct
Spironolactone-induced renal insufficiency and hyperkalemia, option 2 Spironolactone contributes to another disease, and that other disease causes heart failure is correct",0.0741,,"","",no_relation,"The sentence says that the patients already had heart failure, and therefore it doesn't seem like spironolactone was what caused the heart failure.","very_confident
confident
not_too_confident
not_confident","",D006333,"<span class=""disease"">heart failure</span>",D013148,"<span class=""chemical"">Spironolactone</span>","<span class=""chemical"">Spironolactone</span>-induced renal insufficiency and hyperkalemia in patients with <span class=""disease"">heart failure</span>.",15632880,bcv_easy_87,""
759309877,0.14,22,false,"",0.0,,"","",yes_direct,"The convulsions were ""induced"" (caused) by nicotine, carbachol, and neostigmine.","very_confident
confident
not_too_confident
not_confident","",D012640,"<span class=""disease"">convulsion</span>",D002217,"<span class=""chemical"">carbachol</span>","RESULTS: Sensitivity to several <span class=""disease"">convulsion</span> endpoints induced by nicotine, <span class=""chemical"">carbachol</span>, and neostigmine were significantly greater in WSR versus WSP mice.",12198388,bcv_easy_105,""
759309930,0.17,29,false,"",0.0,,"","",yes_direct,Induced means caused by.,"very_confident
confident
not_too_confident
not_confident","",D009395,"<span class=""disease"">interstitial nephritis</span>",D017963,"<span class=""chemical"">azithromycin</span>","A 14-year-old girl is reported with recurrent, <span class=""chemical"">azithromycin</span>-induced, acute <span class=""disease"">interstitial nephritis</span>.",15602202,bcv_easy_161,""
759310481,0.71,24,false,This is inconsistent with how you've marked the others.,0.0417,,"","",no_relation,The sentence only says that patients who developed renal insufficiency had higher amounts of creatinine in their blood. It does not say that this is what caused the renal insufficiency.,"very_confident
confident
not_too_confident
not_confident","",D051437,"<span class=""disease"">renal insufficiency</span>",D003404,"<span class=""chemical"">creatinine</span>","Patients who developed <span class=""disease"">renal insufficiency</span> had lower baseline body weight and higher baseline serum <span class=""chemical"">creatinine</span>, required higher doses of loop diuretics, and were more likely to be treated with thiazide diuretics than controls.",15632880,bcv_easy_81,""
759310497,0.03,35,false,"",0.0,,"","",yes_direct,Induced means caused by.,"very_confident
confident
not_too_confident
not_confident","",D008881,"<span class=""disease"">migraine</span>",D005996,"<span class=""chemical"">nitroglycerin</span>","Early onset <span class=""disease"">migraine</span> attacks were induced by <span class=""chemical"">nitroglycerin</span> in seven out of 10 patients versus no patient in the placebo group.",2515254,bcv_easy_115,""
759310593,0.29,24,false,"",0.0,,"","",no_relation,Patients who had hyperkalemia also likely had diabetes and higher amounts of potassium in their blood. The sentence never says that potassium causes diabetes.,"very_confident
confident
not_too_confident
not_confident","",D003920,"<span class=""disease"">diabetes</span>",D011188,"<span class=""chemical"">potassium</span>","Patients who developed hyperkalemia were older and more likely to have <span class=""disease"">diabetes</span>, had higher baseline serum <span class=""chemical"">potassium</span> levels and lower baseline <span class=""chemical"">potassium</span> supplement doses, and were more likely to be treated with beta-blockers than controls (n = 134).",15632880,bcv_easy_84,""
759310868,0.18,33,false,"",0.0,,"","",no_relation,"""K"" means potassium, and hyperkalemia means ""high blood levels of potassium"". Therefore the ""K"" here in parentheses means the definition of hyperkalemia (when K is more than 5 units per liter). The sentence never says potassium is causing renal insufficiency.","very_confident
confident
not_too_confident
not_confident","",D051437,"<span class=""disease"">renal insufficiency</span>",D011188,"<span class=""chemical"">K</span>","Cases were patients who developed hyperkalemia (<span class=""chemical"">K</span>(+) >5.0 mEq/L) or <span class=""disease"">renal insufficiency</span> (Cr >or=2.5 mg/dL), and they were compared to 2 randomly selected controls per case.",15632880,bcv_easy_85,""
759311173,0.23,26,false,"",0.0,,"","",yes_direct,"","very_confident
confident
not_too_confident
not_confident","",D000741,"<span class=""disease"">aplastic anemia</span>",D010396,"<span class=""chemical"">D-penicillamine</span>","A patient who received antithymocyte globulin therapy for <span class=""disease"">aplastic anemia</span> due to <span class=""chemical"">D-penicillamine</span> therapy is described.",12041669,bcv_easy_125,""
759313411,0.25,24,false,"",0.0,,"","",yes_direct,"","very_confident
confident
not_too_confident
not_confident","",D008881,"<span class=""disease"">migraine</span>",D005996,"<span class=""chemical"">nitroglycerin</span>","Thus the <span class=""disease"">migraine</span>-inducing effect of <span class=""chemical"">nitroglycerin</span> seems to depend on direct stimulation of the habitual site of pain, suggesting that the frontotemporal region is of crucial importance in the development of a <span class=""disease"">migraine</span> crisis.",2515254,bcv_easy_117,""
