_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,ask_question_here,comment_box,verify_relationship,orig__golden,chemical_id,chemical_name,disease_id,disease_name,form_sentence,original_job_id,pmid,relation_pair_id,sentence_id,uniq_id,verify_relationship_gold,verify_relationship_gold_reason
778101678,8/26/2015 04:40:05,true,1721335298,,8/26/2015 04:38:20,false,neodev,0.8125,32541786,IND,07,New Delhi,122.160.9.84,,,no_relation,TRUE,D003404,"<span class=""chemical"">creatinine</span>",D006973,"<span class=""disease"">hypertension</span>","We used time-to-event analysis to identify potential predictors of decrease in renal function including age, baseline ejection fraction, baseline <span class=""chemical"">creatinine</span>, low systolic blood pressure (<100 mm Hg), history of <span class=""disease"">hypertension</span>, diabetes, and use of antiplatelet, diuretic, and beta-blocker therapy.",762850.0,10539815.0,10539815_D003404_D006973,,bcv_easy_306_sent_dev_set_762850,no_relation,Creatinine and hypertension were studied as potential predictors of decreased renal (kidney) function.
778101678,8/26/2015 05:01:14,true,1721343298,,8/26/2015 04:59:58,false,neodev,0.9643,32632027,MEX,11,Irapuato,187.205.242.154,,,no_relation,TRUE,D003404,"<span class=""chemical"">creatinine</span>",D006973,"<span class=""disease"">hypertension</span>","We used time-to-event analysis to identify potential predictors of decrease in renal function including age, baseline ejection fraction, baseline <span class=""chemical"">creatinine</span>, low systolic blood pressure (<100 mm Hg), history of <span class=""disease"">hypertension</span>, diabetes, and use of antiplatelet, diuretic, and beta-blocker therapy.",762850.0,10539815.0,10539815_D003404_D006973,,bcv_easy_306_sent_dev_set_762850,no_relation,Creatinine and hypertension were studied as potential predictors of decreased renal (kidney) function.
778101678,8/26/2015 05:39:00,true,1721365519,,8/26/2015 05:35:22,false,neodev,0.8824,30057720,IND,24,Banswara,117.253.74.35,,,no_relation,TRUE,D003404,"<span class=""chemical"">creatinine</span>",D006973,"<span class=""disease"">hypertension</span>","We used time-to-event analysis to identify potential predictors of decrease in renal function including age, baseline ejection fraction, baseline <span class=""chemical"">creatinine</span>, low systolic blood pressure (<100 mm Hg), history of <span class=""disease"">hypertension</span>, diabetes, and use of antiplatelet, diuretic, and beta-blocker therapy.",762850.0,10539815.0,10539815_D003404_D006973,,bcv_easy_306_sent_dev_set_762850,no_relation,Creatinine and hypertension were studied as potential predictors of decreased renal (kidney) function.
778101680,8/26/2015 04:38:02,true,1721334554,true,8/26/2015 04:36:52,false,neodev,0.8689,27597779,CAN,AB,Calgary,68.146.86.137,,,no_relation,TRUE,C012052,"<span class=""chemical"">amisulpride</span>",D006973,"<span class=""disease"">hypertensive</span>","CONCLUSIONS: As of March 24, 2005, this is the first reported case of <span class=""chemical"">amisulpride</span>- and tiapride-induced <span class=""disease"">hypertensive</span> crisis in a patient with pheochromocytoma.",762850.0,15811908.0,15811908_C012052_D006973,,bcv_easy_808_sent_dev_set_762850,yes_direct,This sentence talks about the first case of amisulpride induced hypertensive crisis.
778101680,8/26/2015 05:09:47,true,1721346812,,8/26/2015 05:06:48,false,neodev,0.9444,28584099,VEN,07,Valencia,190.142.26.39,,,yes_direct,TRUE,C012052,"<span class=""chemical"">amisulpride</span>",D006973,"<span class=""disease"">hypertensive</span>","CONCLUSIONS: As of March 24, 2005, this is the first reported case of <span class=""chemical"">amisulpride</span>- and tiapride-induced <span class=""disease"">hypertensive</span> crisis in a patient with pheochromocytoma.",762850.0,15811908.0,15811908_C012052_D006973,,bcv_easy_808_sent_dev_set_762850,yes_direct,This sentence talks about the first case of amisulpride induced hypertensive crisis.
778101680,8/26/2015 05:21:41,true,1721351877,,8/26/2015 05:20:33,false,clixsense,0.9286,17209680,DEU,"","",91.1.120.128,,,yes_direct,TRUE,C012052,"<span class=""chemical"">amisulpride</span>",D006973,"<span class=""disease"">hypertensive</span>","CONCLUSIONS: As of March 24, 2005, this is the first reported case of <span class=""chemical"">amisulpride</span>- and tiapride-induced <span class=""disease"">hypertensive</span> crisis in a patient with pheochromocytoma.",762850.0,15811908.0,15811908_C012052_D006973,,bcv_easy_808_sent_dev_set_762850,yes_direct,This sentence talks about the first case of amisulpride induced hypertensive crisis.
778101680,8/26/2015 05:34:50,true,1721361961,true,8/26/2015 05:33:09,false,neodev,0.9167,31508978,VEN,"","",190.77.83.47,,,no_relation,TRUE,C012052,"<span class=""chemical"">amisulpride</span>",D006973,"<span class=""disease"">hypertensive</span>","CONCLUSIONS: As of March 24, 2005, this is the first reported case of <span class=""chemical"">amisulpride</span>- and tiapride-induced <span class=""disease"">hypertensive</span> crisis in a patient with pheochromocytoma.",762850.0,15811908.0,15811908_C012052_D006973,,bcv_easy_808_sent_dev_set_762850,yes_direct,This sentence talks about the first case of amisulpride induced hypertensive crisis.
778101681,8/26/2015 05:00:05,true,1721342872,,8/26/2015 04:55:28,true,neodev,0.6667,17839436,PHL,"","",112.198.103.186,,,yes_direct,TRUE,D002211,"<span class=""chemical"">capsaicin</span>",D010146,"<span class=""disease"">painful</span>","A small amount of <span class=""chemical"">capsaicin</span> was administered subcutaneously in the right forehead to evoke a burning <span class=""disease"">painful</span> sensation in the first division of the trigeminal nerve.",762850.0,9514561.0,9514561_D002211_D010146,,bcv_easy_2013_sent_dev_set_762850,yes_direct,"Capsaicin (the chemical that makes chilis spicy), when put under your skin, causes pain."
778101681,8/26/2015 05:02:00,true,1721343652,,8/26/2015 05:01:22,false,clixsense,0.8313,32261430,PHL,D9,Makati,222.127.255.18,,,yes_direct,TRUE,D002211,"<span class=""chemical"">capsaicin</span>",D010146,"<span class=""disease"">painful</span>","A small amount of <span class=""chemical"">capsaicin</span> was administered subcutaneously in the right forehead to evoke a burning <span class=""disease"">painful</span> sensation in the first division of the trigeminal nerve.",762850.0,9514561.0,9514561_D002211_D010146,,bcv_easy_2013_sent_dev_set_762850,yes_direct,"Capsaicin (the chemical that makes chilis spicy), when put under your skin, causes pain."
778101681,8/26/2015 05:40:36,true,1721366781,,8/26/2015 05:34:00,false,clixsense,1.0,14311647,IDN,04,Jakarta,114.4.77.243,,,yes_direct,TRUE,D002211,"<span class=""chemical"">capsaicin</span>",D010146,"<span class=""disease"">painful</span>","A small amount of <span class=""chemical"">capsaicin</span> was administered subcutaneously in the right forehead to evoke a burning <span class=""disease"">painful</span> sensation in the first division of the trigeminal nerve.",762850.0,9514561.0,9514561_D002211_D010146,,bcv_easy_2013_sent_dev_set_762850,yes_direct,"Capsaicin (the chemical that makes chilis spicy), when put under your skin, causes pain."
778101682,8/26/2015 05:18:25,true,1721350363,,8/26/2015 04:58:26,false,neodev,1.0,29658778,BGD,"","",180.211.173.6,,,no_relation,TRUE,D003630,"<span class=""chemical"">daunorubicin</span>",D000163,"<span class=""disease"">AIDS</span>","We report a non-randomized Phase II clinical trial to assess the efficacy and safety of liposomal <span class=""chemical"">daunorubicin</span> (DaunoXome) in the treatment of <span class=""disease"">AIDS</span> related Kaposi's sarcoma.",762850.0,8305357.0,8305357_D003630_D000163,,bcv_easy_125_sent_dev_set_762850,no_relation,Daunorubicin is being studied as a way to treat AIDS related Kaposi's sarcoma.
778101683,8/26/2015 04:56:33,true,1721341582,,8/26/2015 04:55:51,false,neodev,0.9643,32632027,MEX,11,Irapuato,187.205.242.154,,,no_relation,TRUE,D000241,"<span class=""chemical"">adenosine</span>",D059787|D059350,"<span class=""disease"">acute and chronic pain</span>","BACKGROUND: Preclinical studies of intrathecal <span class=""chemical"">adenosine</span> suggest it may be effective in the treatment of <span class=""disease"">acute and chronic pain</span> in humans, and preliminary studies in volunteers and patients with a Swedish formulation of <span class=""chemical"">adenosine</span> suggests it may be effective in hypersensitivity states but not with acute noxious stimulation.",762850.0,11752998.0,11752998_D000241_D059787|D059350,,bcv_easy_3089_sent_dev_set_762850,no_relation,Adenosine might be able to treat acute and chronic pain.
778101683,8/26/2015 05:25:38,true,1721354102,,8/26/2015 05:22:04,false,neodev,0.8824,30057720,IND,24,Banswara,117.253.74.35,,,no_relation,TRUE,D000241,"<span class=""chemical"">adenosine</span>",D059787|D059350,"<span class=""disease"">acute and chronic pain</span>","BACKGROUND: Preclinical studies of intrathecal <span class=""chemical"">adenosine</span> suggest it may be effective in the treatment of <span class=""disease"">acute and chronic pain</span> in humans, and preliminary studies in volunteers and patients with a Swedish formulation of <span class=""chemical"">adenosine</span> suggests it may be effective in hypersensitivity states but not with acute noxious stimulation.",762850.0,11752998.0,11752998_D000241_D059787|D059350,,bcv_easy_3089_sent_dev_set_762850,no_relation,Adenosine might be able to treat acute and chronic pain.
778101683,8/26/2015 05:39:38,true,1721366068,,8/26/2015 05:36:15,false,neodev,0.7143,32932483,VEN,"","",190.75.82.169,,,no_relation,TRUE,D000241,"<span class=""chemical"">adenosine</span>",D059787|D059350,"<span class=""disease"">acute and chronic pain</span>","BACKGROUND: Preclinical studies of intrathecal <span class=""chemical"">adenosine</span> suggest it may be effective in the treatment of <span class=""disease"">acute and chronic pain</span> in humans, and preliminary studies in volunteers and patients with a Swedish formulation of <span class=""chemical"">adenosine</span> suggests it may be effective in hypersensitivity states but not with acute noxious stimulation.",762850.0,11752998.0,11752998_D000241_D059787|D059350,,bcv_easy_3089_sent_dev_set_762850,no_relation,Adenosine might be able to treat acute and chronic pain.
778101684,8/26/2015 05:18:02,true,1721350181,,8/26/2015 05:16:52,false,neodev,0.8824,33090859,SRB,"","",93.87.24.129,,,yes_direct,TRUE,D010830,"<span class=""chemical"">eserine</span>",D015878,"<span class=""disease"">mydriasis</span>","On the other hand, <span class=""disease"">mydriasis</span>, tremor and clonic-tonic convulsions evoked by carbachol and <span class=""chemical"">eserine</span> were not significantly changed by calcium chloride.",762850.0,6892185.0,6892185_D010830_D015878,,bcv_easy_1548_sent_dev_set_762850,yes_direct,Eserine and carbachol cause mydriasis.
778101684,8/26/2015 05:34:54,true,1721362031,,8/26/2015 05:31:47,true,clixsense,0.6667,29397502,PHL,C8,Iligan City,49.145.78.203,,,yes_direct,TRUE,D010830,"<span class=""chemical"">eserine</span>",D015878,"<span class=""disease"">mydriasis</span>","On the other hand, <span class=""disease"">mydriasis</span>, tremor and clonic-tonic convulsions evoked by carbachol and <span class=""chemical"">eserine</span> were not significantly changed by calcium chloride.",762850.0,6892185.0,6892185_D010830_D015878,,bcv_easy_1548_sent_dev_set_762850,yes_direct,Eserine and carbachol cause mydriasis.
778101685,8/26/2015 04:44:01,true,1721336546,,8/26/2015 04:41:09,false,neodev,0.8689,27597779,CAN,AB,Calgary,68.146.86.137,,,no_relation,TRUE,C084178,"<span class=""chemical"">telmisartan</span>",D006973,"<span class=""disease"">hypertension</span>","Results of a comparative, phase III, 12-week, multicenter, prospective, randomized, double-blind assessment of the efficacy and tolerability of a fixed-dose combination of <span class=""chemical"">telmisartan</span> and amlodipine versus amlodipine monotherapy in Indian adults with stage II <span class=""disease"">hypertension</span>.",762850.0,18201582.0,18201582_C084178_D006973,,bcv_easy_2744_sent_dev_set_762850,no_relation,Telmisartan is being used in patients with stage II hypertension. It seems it is being tested as a treatment.
778101685,8/26/2015 04:59:13,true,1721342577,,8/26/2015 04:58:06,false,elite,0.8077,34195998,IND,16,Mumbai,183.87.33.231,,,no_relation,TRUE,C084178,"<span class=""chemical"">telmisartan</span>",D006973,"<span class=""disease"">hypertension</span>","Results of a comparative, phase III, 12-week, multicenter, prospective, randomized, double-blind assessment of the efficacy and tolerability of a fixed-dose combination of <span class=""chemical"">telmisartan</span> and amlodipine versus amlodipine monotherapy in Indian adults with stage II <span class=""disease"">hypertension</span>.",762850.0,18201582.0,18201582_C084178_D006973,,bcv_easy_2744_sent_dev_set_762850,no_relation,Telmisartan is being used in patients with stage II hypertension. It seems it is being tested as a treatment.
778101685,8/26/2015 05:12:24,true,1721347923,,8/26/2015 05:01:18,true,clixsense,0.6667,17708868,SRB,"","",46.17.151.15,,",,,,,",no_relation,TRUE,C084178,"<span class=""chemical"">telmisartan</span>",D006973,"<span class=""disease"">hypertension</span>","Results of a comparative, phase III, 12-week, multicenter, prospective, randomized, double-blind assessment of the efficacy and tolerability of a fixed-dose combination of <span class=""chemical"">telmisartan</span> and amlodipine versus amlodipine monotherapy in Indian adults with stage II <span class=""disease"">hypertension</span>.",762850.0,18201582.0,18201582_C084178_D006973,,bcv_easy_2744_sent_dev_set_762850,no_relation,Telmisartan is being used in patients with stage II hypertension. It seems it is being tested as a treatment.
778101685,8/26/2015 05:21:26,true,1721351783,,8/26/2015 05:20:28,false,clixsense,0.8313,32261430,PHL,D9,Makati,222.127.255.18,,,no_relation,TRUE,C084178,"<span class=""chemical"">telmisartan</span>",D006973,"<span class=""disease"">hypertension</span>","Results of a comparative, phase III, 12-week, multicenter, prospective, randomized, double-blind assessment of the efficacy and tolerability of a fixed-dose combination of <span class=""chemical"">telmisartan</span> and amlodipine versus amlodipine monotherapy in Indian adults with stage II <span class=""disease"">hypertension</span>.",762850.0,18201582.0,18201582_C084178_D006973,,bcv_easy_2744_sent_dev_set_762850,no_relation,Telmisartan is being used in patients with stage II hypertension. It seems it is being tested as a treatment.
778101685,8/26/2015 05:39:58,true,1721366358,,8/26/2015 05:37:34,false,neodev,0.9444,28584099,VEN,07,Valencia,190.142.26.39,,,no_relation,TRUE,C084178,"<span class=""chemical"">telmisartan</span>",D006973,"<span class=""disease"">hypertension</span>","Results of a comparative, phase III, 12-week, multicenter, prospective, randomized, double-blind assessment of the efficacy and tolerability of a fixed-dose combination of <span class=""chemical"">telmisartan</span> and amlodipine versus amlodipine monotherapy in Indian adults with stage II <span class=""disease"">hypertension</span>.",762850.0,18201582.0,18201582_C084178_D006973,,bcv_easy_2744_sent_dev_set_762850,no_relation,Telmisartan is being used in patients with stage II hypertension. It seems it is being tested as a treatment.
778101685,8/26/2015 05:41:37,true,1721367661,,8/26/2015 05:38:51,false,clixsense,0.8571,24296157,HRV,21,Zagreb,89.164.179.233,,,no_relation,TRUE,C084178,"<span class=""chemical"">telmisartan</span>",D006973,"<span class=""disease"">hypertension</span>","Results of a comparative, phase III, 12-week, multicenter, prospective, randomized, double-blind assessment of the efficacy and tolerability of a fixed-dose combination of <span class=""chemical"">telmisartan</span> and amlodipine versus amlodipine monotherapy in Indian adults with stage II <span class=""disease"">hypertension</span>.",762850.0,18201582.0,18201582_C084178_D006973,,bcv_easy_2744_sent_dev_set_762850,no_relation,Telmisartan is being used in patients with stage II hypertension. It seems it is being tested as a treatment.
778101686,8/26/2015 04:39:45,true,1721335163,true,8/26/2015 04:36:08,false,neodev,0.8667,12337397,IDN,07,Semarang,222.124.21.42,,,yes_direct,TRUE,D004329,"<span class=""chemical"">droperidol</span>",D004342,"<span class=""disease"">drug allergies</span>","We report the case of a previously healthy 19-year-old man with no known <span class=""disease"">drug allergies</span> in whom angioedema with significant tongue swelling and protrusion developed within 10 minutes of the administration of a single IV dose of <span class=""chemical"">droperidol</span>.",762850.0,8599504.0,8599504_D004329_D004342,,bcv_easy_1324_sent_dev_set_762850,no_relation,"Droperidol causes angioedema and tongue swelling, but the patient had no prior drug allergies."
778101686,8/26/2015 05:17:04,true,1721349919,true,8/26/2015 05:14:03,true,neodev,0.6667,33549036,VEN,"","",190.201.157.208,,,yes_direct,TRUE,D004329,"<span class=""chemical"">droperidol</span>",D004342,"<span class=""disease"">drug allergies</span>","We report the case of a previously healthy 19-year-old man with no known <span class=""disease"">drug allergies</span> in whom angioedema with significant tongue swelling and protrusion developed within 10 minutes of the administration of a single IV dose of <span class=""chemical"">droperidol</span>.",762850.0,8599504.0,8599504_D004329_D004342,,bcv_easy_1324_sent_dev_set_762850,no_relation,"Droperidol causes angioedema and tongue swelling, but the patient had no prior drug allergies."
778101686,8/26/2015 05:21:22,true,1721351749,,8/26/2015 05:20:38,false,neodev,0.8286,33292218,VEN,"","",190.199.97.165,,,no_relation,TRUE,D004329,"<span class=""chemical"">droperidol</span>",D004342,"<span class=""disease"">drug allergies</span>","We report the case of a previously healthy 19-year-old man with no known <span class=""disease"">drug allergies</span> in whom angioedema with significant tongue swelling and protrusion developed within 10 minutes of the administration of a single IV dose of <span class=""chemical"">droperidol</span>.",762850.0,8599504.0,8599504_D004329_D004342,,bcv_easy_1324_sent_dev_set_762850,no_relation,"Droperidol causes angioedema and tongue swelling, but the patient had no prior drug allergies."
778101687,8/26/2015 05:34:26,true,1721361738,,8/26/2015 05:33:14,false,tremorgames,1.0,19953423,IDN,"","",114.124.29.253,,,yes_direct,TRUE,D006493,"<span class=""chemical"">heparin</span>",D006470,"<span class=""disease"">hemorrhage</span>","Clinical manifestations of this disorder include <span class=""disease"">hemorrhage</span> or, more frequently, thromboembolic events in patients receiving <span class=""chemical"">heparin</span>.",762850.0,6615052.0,6615052_D006493_D006470,,bcv_easy_3021_sent_dev_set_762850,yes_direct,"The sentence does not follow the ""[chemical]-induced [other disease] causes [highlighted disease]"" structure, so  heparin-induced [other disease] causes hemorrhage is wrong. Patients developed hemorrhage after receiving heparin, so the correct choice is ""heparin directly contributes to or causes hemorrhage."""
778101687,8/26/2015 05:40:19,true,1721366621,,8/26/2015 05:34:22,false,neodev,1.0,33163510,VEN,"","",201.210.214.15,,,yes_direct,TRUE,D006493,"<span class=""chemical"">heparin</span>",D006470,"<span class=""disease"">hemorrhage</span>","Clinical manifestations of this disorder include <span class=""disease"">hemorrhage</span> or, more frequently, thromboembolic events in patients receiving <span class=""chemical"">heparin</span>.",762850.0,6615052.0,6615052_D006493_D006470,,bcv_easy_3021_sent_dev_set_762850,yes_direct,"The sentence does not follow the ""[chemical]-induced [other disease] causes [highlighted disease]"" structure, so  heparin-induced [other disease] causes hemorrhage is wrong. Patients developed hemorrhage after receiving heparin, so the correct choice is ""heparin directly contributes to or causes hemorrhage."""
778101688,8/26/2015 04:33:51,true,1721333249,,8/26/2015 04:33:21,false,clixsense,0.8313,32261430,PHL,D9,Makati,222.127.255.18,,,yes_direct,TRUE,D014700,"<span class=""chemical"">Verapamil</span>",D001281,"<span class=""disease"">AF</span>","RESULTS: <span class=""chemical"">Verapamil</span> caused <span class=""disease"">AF</span> promotion in six dogs, increasing mean duration of <span class=""disease"">AF</span> induced by burst pacing, from 8+/-4 s (mean+/-S.E.) to 95+/-39 s (P<0.01 vs. control) at a loading dose of 0.1 mg/kg and 228+/-101 s (P<0.0005 vs. control) at a dose of 0.2 mg/kg.",762850.0,11282081.0,11282081_D014700_D001281,,bcv_easy_1715_sent_dev_set_762850,yes_direct,
778101688,8/26/2015 05:07:36,true,1721345803,,8/26/2015 05:02:46,false,elite,0.7778,33924850,IND,16,Panvel,111.119.197.21,,,yes_direct,TRUE,D014700,"<span class=""chemical"">Verapamil</span>",D001281,"<span class=""disease"">AF</span>","RESULTS: <span class=""chemical"">Verapamil</span> caused <span class=""disease"">AF</span> promotion in six dogs, increasing mean duration of <span class=""disease"">AF</span> induced by burst pacing, from 8+/-4 s (mean+/-S.E.) to 95+/-39 s (P<0.01 vs. control) at a loading dose of 0.1 mg/kg and 228+/-101 s (P<0.0005 vs. control) at a dose of 0.2 mg/kg.",762850.0,11282081.0,11282081_D014700_D001281,,bcv_easy_1715_sent_dev_set_762850,yes_direct,
778101688,8/26/2015 05:36:12,true,1721363285,,8/26/2015 05:35:10,false,neodev,1.0,33455574,VEN,"","",201.210.91.240,,,yes_direct,TRUE,D014700,"<span class=""chemical"">Verapamil</span>",D001281,"<span class=""disease"">AF</span>","RESULTS: <span class=""chemical"">Verapamil</span> caused <span class=""disease"">AF</span> promotion in six dogs, increasing mean duration of <span class=""disease"">AF</span> induced by burst pacing, from 8+/-4 s (mean+/-S.E.) to 95+/-39 s (P<0.01 vs. control) at a loading dose of 0.1 mg/kg and 228+/-101 s (P<0.0005 vs. control) at a dose of 0.2 mg/kg.",762850.0,11282081.0,11282081_D014700_D001281,,bcv_easy_1715_sent_dev_set_762850,yes_direct,
778101689,8/26/2015 05:11:27,true,1721347493,,8/26/2015 05:10:13,false,clixsense,0.8837,13919775,IDN,30,Tangerang,180.250.88.122,,,yes_direct,TRUE,D004298,"<span class=""chemical"">dopamine</span>",D002389,"<span class=""disease"">catatonia</span>","In the pinealectomized chick, pretreatment with <span class=""chemical"">dopamine</span> increased the duration of <span class=""disease"">catatonia</span> (DOC) after ketamine, but pretreatment with norepinephrine did not.",762850.0,6540303.0,6540303_D004298_D002389,,bcv_easy_967_sent_dev_set_762850,yes_direct,"Dopamine made the duration of catatonia longer, which means dopamine made catatonia worse."
778101690,8/26/2015 04:31:05,true,1721332346,true,8/26/2015 04:29:52,true,neodev,0.5,24118190,VEN,"","",190.207.151.202,,,no_relation,TRUE,D000082,"<span class=""chemical"">acetaminophen</span>",D064420,"<span class=""disease"">toxicity</span>","To further our understanding of the mechanism of CS cytoprotection, we examined in rats and mice the protective abilities of CS and the non-hydrolyzable ether form of CS, gamma-cholesteryloxybutyric acid, tris salt (CSE) against <span class=""chemical"">acetaminophen</span>-, adriamycin-, carbon tetrachloride-, chloroform- and galactosamine-induced <span class=""disease"">toxicity</span>.",762850.0,9067481.0,9067481_D000082_D064420,,bcv_easy_2720_sent_dev_set_762850,yes_direct,"Five chemicals, including acetaminophen, induced (caused) toxicity."
