PMID	NUM_SENT	MENTION_INI	MENTION_END	MENTION_TEXT	MENTION_TYPE	MENTION_ID	SENTENCE
19722526	0	76	85	histamine	Chemical	D006632	Design and evaluation of novel biphenyl sulfonamide derivatives with potent histamine H(3) receptor inverse agonist activity.
19722526	1	18	27	histamine	Chemical	D006632	Antagonism of the histamine-H(3) receptor is one tactic being explored to increase wakefulness for the treatment of disorders such as excessive daytime sleepiness (EDS) as well as other sleep or cognitive disorders.
19722526	2	0	31	Phenethyl-R-2-methylpyrrolidine	Chemical		Phenethyl-R-2-methylpyrrolidine containing biphenylsulfonamide compounds were shown to be potent and selective antagonists of the H(3) receptor.
19722526	2	43	62	biphenylsulfonamide	Chemical		Phenethyl-R-2-methylpyrrolidine containing biphenylsulfonamide compounds were shown to be potent and selective antagonists of the H(3) receptor.
19722526	3	75	101	(R)-alpha-methyl histamine	Chemical	CHEBI:73337	Several of these compounds demonstrated in vivo activity in a rat model of (R)-alpha-methyl histamine (RAMH) induced dipsogenia, and one compound (4e) provided an increase in wakefulness in rats as measured by polysomnographic methods.
19722526	3	103	107	RAMH	Chemical		Several of these compounds demonstrated in vivo activity in a rat model of (R)-alpha-methyl histamine (RAMH) induced dipsogenia, and one compound (4e) provided an increase in wakefulness in rats as measured by polysomnographic methods.
21225024	5	100	105	Creon	Chemical		On the basis of evidence from recent randomized controlled trials, three pancrelipase formulations (Creon ®, Zenpep ® and Pancreaze ®) have been approved by the FDA as effective treatments for PEI.
21225024	5	122	131	Pancreaze	Chemical		On the basis of evidence from recent randomized controlled trials, three pancrelipase formulations (Creon ®, Zenpep ® and Pancreaze ®) have been approved by the FDA as effective treatments for PEI.
12002937	0	0	7	Quinine	Chemical	D011803	Quinine ocular toxicity: treatment of blindness using therapy for vasospasm.
12002937	1	54	61	quinine	Chemical	D011803	A case of ocular toxicity with vasospasm secondary to quinine poisoning is described.
12002937	2	28	38	nimodipine	Chemical	D009553	Therapy for vasospasm using nimodipine, hypertension, haemodilution and hypervolaemia was instituted with subsequent resolution of symptoms.
2385771	1	139	153	aminoglycoside	Chemical	CHEBI:47779	Mortality due to left-sided endocarditis caused by Pseudomonas aeruginosa remains high despite the therapeutic regimen of high doses of an aminoglycoside plus a beta-lactam antibiotic.
2385771	1	161	172	beta-lactam	Chemical	CHEBI:35627	Mortality due to left-sided endocarditis caused by Pseudomonas aeruginosa remains high despite the therapeutic regimen of high doses of an aminoglycoside plus a beta-lactam antibiotic.
18809519	0	48	59	ropivacaine	Chemical	C037663	Comparison of three different concentrations of ropivacaine for postoperative patient-controlled thoracic epidural analgesia after upper abdominal surgery.
18809519	1	70	81	ropivacaine	Chemical	C037663	BACKGROUND: Previous studies have reported the comparable efficacy of ropivacaine/fentanyl for patient-controlled epidural analgesia (PCEA).
18809519	1	82	90	fentanyl	Chemical	D005283	BACKGROUND: Previous studies have reported the comparable efficacy of ropivacaine/fentanyl for patient-controlled epidural analgesia (PCEA).
18809519	2	51	62	ropivacaine	Chemical	C037663	In our hospital, three different concentrations of ropivacaine solution (0.1%, 0.15%, 0.2%) in combination with 1 microg/mL fentanyl were available for PCEA.
18809519	2	124	132	fentanyl	Chemical	D005283	In our hospital, three different concentrations of ropivacaine solution (0.1%, 0.15%, 0.2%) in combination with 1 microg/mL fentanyl were available for PCEA.
18809519	3	111	122	ropivacaine	Chemical	C037663	As some studies have reported a much higher incidence of motor block and opioid-related side effects with 0.2% ropivacaine in combination with 4 microg/mL fentanyl, it was our intent to analyze the data of our patients who had received PCEA after upper abdominal surgery.
18809519	3	155	163	fentanyl	Chemical	D005283	As some studies have reported a much higher incidence of motor block and opioid-related side effects with 0.2% ropivacaine in combination with 4 microg/mL fentanyl, it was our intent to analyze the data of our patients who had received PCEA after upper abdominal surgery.
18809519	4	137	148	ropivacaine	Chemical	C037663	In addition to comparing the analgesic effects and the incidence of motor block and opioid-related side effects of these three different ropivacaine/fentanyl solutions, we also evaluated the workload of our pain staff.
18809519	4	149	157	fentanyl	Chemical	D005283	In addition to comparing the analgesic effects and the incidence of motor block and opioid-related side effects of these three different ropivacaine/fentanyl solutions, we also evaluated the workload of our pain staff.
18809519	5	80	91	ropivacaine	Chemical	C037663	The main purpose of our study was to determine which of these three regimens of ropivacaine was most satisfactory with the least workload for the pain service staff.
18809519	7	31	42	ropivacaine	Chemical	C037663	The number of patients in each ropivacaine/fentanyl group was 11 (group 1, 0.1% ropivacaine; group 2, 0.15%; group 3, 0.2%).
18809519	7	43	51	fentanyl	Chemical	D005283	The number of patients in each ropivacaine/fentanyl group was 11 (group 1, 0.1% ropivacaine; group 2, 0.15%; group 3, 0.2%).
18809519	7	80	91	ropivacaine	Chemical	C037663	The number of patients in each ropivacaine/fentanyl group was 11 (group 1, 0.1% ropivacaine; group 2, 0.15%; group 3, 0.2%).
18809519	16	50	61	ropivacaine	Chemical	C037663	CONCLUSION: Both thoracic epidural 0.15% and 0.2% ropivacaine provide effective postoperative pain control in combination with fentanyl without motor block.
18809519	16	127	135	fentanyl	Chemical	D005283	CONCLUSION: Both thoracic epidural 0.15% and 0.2% ropivacaine provide effective postoperative pain control in combination with fentanyl without motor block.
18809519	17	8	19	ropivacaine	Chemical	C037663	A 0.15% ropivacaine-1 microg/mL fentanyl solution is preferable considering the lower incidence of adverse events.
18809519	17	32	40	fentanyl	Chemical	D005283	A 0.15% ropivacaine-1 microg/mL fentanyl solution is preferable considering the lower incidence of adverse events.
8907171	0	15	25	superoxide	Chemical	D013481	Suppression of superoxide-generating ability during differentiation of monocytes to dendritic cells.
8907171	2	0	10	Superoxide	Chemical	D013481	Superoxide-generating ability in such DCs was found to be suppressed whereas that in macrophages remained constant.
8907171	3	123	133	superoxide	Chemical	D013481	To examine the reason for the suppression in DCs, we evaluated by immunoblotting the levels of essential components of the superoxide generating system in the cells during the differentiation.
8907171	8	143	153	superoxide	Chemical	D013481	These results indicate that the decreased levels of cytochrome b558, especially that of the large subunit, is responsible for the low level of superoxide-generating ability of DCs and that the suppression is caused by IL-4.
17654274	3	133	147	amphotericin B	Chemical	D000666	We describe a diabetic patient with Lecythophora mutabilis prosthetic valve endocarditis who was treated surgically, as well as with amphotericin B lipid complex and voriconazole, which were subsequently followed by prolonged voriconazole suppressive therapy.
17654274	3	166	178	voriconazole	Chemical	C102790	We describe a diabetic patient with Lecythophora mutabilis prosthetic valve endocarditis who was treated surgically, as well as with amphotericin B lipid complex and voriconazole, which were subsequently followed by prolonged voriconazole suppressive therapy.
17654274	3	226	238	voriconazole	Chemical	C102790	We describe a diabetic patient with Lecythophora mutabilis prosthetic valve endocarditis who was treated surgically, as well as with amphotericin B lipid complex and voriconazole, which were subsequently followed by prolonged voriconazole suppressive therapy.
8135485	0	0	7	Suramin	Chemical	D013498	Suramin and serum insulin-like growth factor levels in metastatic cancer patients.
8135485	1	0	7	Suramin	Chemical	D013498	Suramin, a polysulphonated naphthylurea, inhibits the activity of several growth factors in in vitro experiments and clinical responses have been reported in human solid tumors.
8135485	1	27	39	naphthylurea	Chemical		Suramin, a polysulphonated naphthylurea, inhibits the activity of several growth factors in in vitro experiments and clinical responses have been reported in human solid tumors.
8135485	2	51	58	suramin	Chemical	D013498	We decided to investigate the relationship between suramin treatment and serum levels of insulin-like growth factor I (IGF-I) and II (IGF-II) in advanced breast, prostate and lung cancer patients.
8135485	4	75	82	suramin	Chemical	D013498	A significant decline of IGF-I and IGF-II serum levels was demonstrated in suramin treated patients.
8135485	5	25	32	suramin	Chemical	D013498	Our results suggest that suramin-induced IGF suppression could be one of the possible mechanisms of suramin action.
8135485	5	100	107	suramin	Chemical	D013498	Our results suggest that suramin-induced IGF suppression could be one of the possible mechanisms of suramin action.
24785785	2	42	48	aldose	Chemical	CHEBI:15693	The rate-limiting enzyme of this process, aldose reductase, is therefore a pharmacologic target.
24785785	4	0	10	Ranirestat	Chemical	C115070	Ranirestat has completed two Phase III clinical trials.
24785785	6	96	100	MeSH	Chemical		AREAS COVERED: A qualitative systematic literature search of PubMed through November 2013 using MeSH terms - aldose reductase inhibitors, diabetic neuropathy, AS-3201, ranirestat, diabetic complications and pharmacokinetics/pharmacodynamics - identified relevant publications limited to human and rodent (mouse and rat) and English-language studies.
24785785	6	109	115	aldose	Chemical	CHEBI:15693	AREAS COVERED: A qualitative systematic literature search of PubMed through November 2013 using MeSH terms - aldose reductase inhibitors, diabetic neuropathy, AS-3201, ranirestat, diabetic complications and pharmacokinetics/pharmacodynamics - identified relevant publications limited to human and rodent (mouse and rat) and English-language studies.
24785785	10	191	201	ranirestat	Chemical	C115070	Trials in subjects with newly diagnosed neuropathy along with the identification of objective biomarkers/measurements of efficacy will be critical in identifying the real value and effect of ranirestat.
16220327	0	14	29	methylphenidate	Chemical	D008774	Assessment of methylphenidate-induced changes in binding of continuously infused [(11)C]-raclopride in healthy human subjects: correlation with subjective effects.
16220327	0	81	99	[(11)C]-raclopride	Chemical		Assessment of methylphenidate-induced changes in binding of continuously infused [(11)C]-raclopride in healthy human subjects: correlation with subjective effects.
16220327	2	49	57	dopamine	Chemical	D004298	It has been shown that information on endogenous dopamine (DA) release can be obtained noninvasively by combining positron emission tomography with a dopaminergic challenge.
16220327	5	66	81	methylphenidate	Chemical	D008774	OBJECTIVES: We investigated the effect of the DA reuptake blocker methylphenidate (MP) on the binding of the D(2) receptor ligand [(11)C]-raclopride (RAC).
16220327	5	130	148	[(11)C]-raclopride	Chemical		OBJECTIVES: We investigated the effect of the DA reuptake blocker methylphenidate (MP) on the binding of the D(2) receptor ligand [(11)C]-raclopride (RAC).
12598076	0	0	11	Epinephrine	Chemical	D004837	Epinephrine unmasks latent mutation carriers with LQT1 form of congenital long-QT syndrome.
12598076	1	64	75	epinephrine	Chemical	D004837	OBJECTIVES: This study was designed to test the hypothesis that epinephrine infusion may be a provocative test able to unmask nonpenetrant KCNQ1 mutation carriers.
12598076	3	70	81	epinephrine	Chemical	D004837	METHODS: The 12-lead electrocardiographic parameters before and after epinephrine infusion were compared among 19 mutation carriers with a baseline corrected QT interval (QTc) of > or =460 ms (Group I), 15 mutation carriers with a QTc of <460 ms (Group II), 12 nonmutation carriers (Group III), and 15 controls (Group IV).
12598076	4	113	124	epinephrine	Chemical	D004837	RESULTS: The mean corrected Q-Tend (QTce), Q-Tpeak (QTcp), and Tpeak-end (Tcp-e) intervals among 12-leads before epinephrine were significantly larger in Group I than in the other three groups.
12598076	5	0	11	Epinephrine	Chemical	D004837	Epinephrine (0.1 microg/kg/min) increased significantly the mean QTce, QTcp, Tcp-e, and the dispersion of QTcp in Groups I and II, but not in Groups III and IV.
12598076	6	139	150	epinephrine	Chemical	D004837	The sensitivity and specificity of QTce measurements to identify mutation carriers were 59% (20/34) and 100% (27/27), respectively, before epinephrine, and the sensitivity was substantially improved to 91% (31/34) without the expense of specificity (100%, 27/27) after epinephrine.
12598076	6	269	280	epinephrine	Chemical	D004837	The sensitivity and specificity of QTce measurements to identify mutation carriers were 59% (20/34) and 100% (27/27), respectively, before epinephrine, and the sensitivity was substantially improved to 91% (31/34) without the expense of specificity (100%, 27/27) after epinephrine.
12598076	7	48	59	epinephrine	Chemical	D004837	The mean QTce, QTcp, and Tcp-e before and after epinephrine were significantly larger in 15 symptomatic than in 19 asymptomatic mutation carriers in Groups I and II, and the prolongation of the mean QTce with epinephrine was significantly larger in symptomatic patients.
12598076	7	209	220	epinephrine	Chemical	D004837	The mean QTce, QTcp, and Tcp-e before and after epinephrine were significantly larger in 15 symptomatic than in 19 asymptomatic mutation carriers in Groups I and II, and the prolongation of the mean QTce with epinephrine was significantly larger in symptomatic patients.
12598076	8	13	24	Epinephrine	Chemical	D004837	CONCLUSIONS: Epinephrine challenge is a powerful test to establish electrocardiographic diagnosis in silent LQT1 mutation carriers, thus allowing implementation of prophylactic measures aimed at reducing sudden cardiac death.
10726804	0	55	68	5-fluorouacil	Chemical		Lacrimal canalicular stenosis associated with systemic 5-fluorouacil therapy.
10726804	1	41	55	5-fluorouracil	Chemical	D005472	PURPOSE: Ocular side effects of systemic 5-fluorouracil therapy include excessive lacrimation which often resolves on cessation of therapy.
10726804	3	53	67	5-fluorouracil	Chemical	D005472	This report highlights this uncommon complication of 5-fluorouracil therapy.
10726804	5	92	106	5-fluorouracil	Chemical	D005472	RESULTS: Severe stenosis of puncta and canaliculi may be associated with prolonged systemic 5-fluorouracil therapy.
10726804	6	120	134	5-fluorouracil	Chemical	D005472	CONCLUSION: It is important for both the oncologist and ophthalmologist to be aware of the potential ocular toxicity of 5-fluorouracil.
9462563	3	114	121	alcohol	Chemical	CHEBI:16236	As an alternative nonsurgical procedure for reducing the left ventricular outflow tract (LVOT) gradient, PTSMA by alcohol-induced septal branch occlusion was introduced.
9462563	5	217	224	alcohol	Chemical	CHEBI:16236	METHODS: In 25 patients (13 women, 12 men; mean [+/- SD] age 54.7 +/- 15.0 years) who were symptomatic despite sufficient drug therapy, 1.4 +/- 0.6 septal branches were occluded with an injection of 4.1 +/- 2.6 ml of alcohol (96%) to ablate the hypertrophied interventricular septum.
9462563	8	55	63	creatine	Chemical	D003401	All patients had angina pectoris for 24 h. The maximal creatine kinase increase was 780 +/- 436 U/liter (range 305 to 1,810) after 11.1 +/- 6.0 h (range 4 to 24).
11752079	0	0	6	Iodine	Chemical	D007455	Iodine-labeled tamoxifen uptake in primary human breast carcinoma.
11752079	0	15	24	tamoxifen	Chemical	D013629	Iodine-labeled tamoxifen uptake in primary human breast carcinoma.
11752079	1	40	46	(123)I	Chemical		Assessing tumor uptake and retention of (123)I-labeled tamoxifen (TX) could increase our understanding of TX's action and the mechanisms involved in resistance to the drug.
11752079	1	55	64	tamoxifen	Chemical	D013629	Assessing tumor uptake and retention of (123)I-labeled tamoxifen (TX) could increase our understanding of TX's action and the mechanisms involved in resistance to the drug.
11752079	3	85	93	estrogen	Chemical	D004967	Tumor-to-normal tissue uptake ratios (T/N) derived from SPECT images were related to estrogen receptor (ER) and progesterone receptor (PR) status.
11752079	3	112	124	progesterone	Chemical	D011374	Tumor-to-normal tissue uptake ratios (T/N) derived from SPECT images were related to estrogen receptor (ER) and progesterone receptor (PR) status.
11752079	4	55	61	(123)I	Chemical		RESULTS: In 4 of 9 patients, all of whom were ER+/PR+, (123)I-TX tumor uptake was clearly depicted.
11752079	8	52	58	(123)I	Chemical		CONCLUSION: These preliminary findings suggest that (123)I-TX is preferentially taken up in alpha-ER+/PR+ breast tumors known to be more likely to respond to endocrine treatment.
21254307	7	73	88	methylphenidate	Chemical	D008774	Few studies have addressed the benefits of interventional strategies but methylphenidate, modafinil and erythropoietin, as well as rehabilitation in children, have shown encouraging results.
21254307	7	90	99	modafinil	Chemical	C048833	Few studies have addressed the benefits of interventional strategies but methylphenidate, modafinil and erythropoietin, as well as rehabilitation in children, have shown encouraging results.
20415154	0	35	41	oxygen	Chemical	D010100	On tracking the course of cerebral oxygen saturation and pilot performance during gravity-induced loss of consciousness.
20415154	1	76	82	oxygen	Chemical	D010100	OBJECTIVE: The aim of this study was to track the course of cerebral tissue oxygen saturation (rSO2) and pilot performance during an episode of gravity-induced loss of consciousness (GLOC).
15302527	0	32	70	(-) trans-delta-9-tetrahydrocannabinol	Chemical		The good and the bad effects of (-) trans-delta-9-tetrahydrocannabinol (Delta 9-THC) on humans.
15302527	0	72	83	Delta 9-THC	Chemical	D013759	The good and the bad effects of (-) trans-delta-9-tetrahydrocannabinol (Delta 9-THC) on humans.
15302527	1	51	80	Delta(9)-tetrahydrocannabinol	Chemical	D013759	This review analyses the therapeutic usefulness of Delta(9)-tetrahydrocannabinol and its potential to induce adverse reactions on humans.
15302527	2	205	215	anandamide	Chemical	C078814	During the last 30 years an enormous amount of research was carried out resulting in the disclosure of the cannabinoid system in Central Nervous System, with its CB(1) and CB(2) receptors, and the agonist anandamide.
15302527	3	34	46	Delta(9)-THC	Chemical	D013759	Under the clinical point of view, Delta(9)-THC produces some therapeutic benefits which are beyond reasonable doubt.
15302527	5	0	12	Delta(9)-THC	Chemical	D013759	Delta(9)-THC is not devoid of ill effects.
15302527	7	29	32	THC	Chemical	D013759	On the psychic area Delta(9)-THC may induce unpleasant reactions such as disconnected thoughts, panic reactions, disturbing changes in perception, delusions and hallucinatory experiences.
15302527	8	126	129	THC	Chemical	D013759	However, the long term effects on the psyche and cognition are not known as there are no reports of prolonged use of Delta(9)-THC.
15302527	9	43	55	Delta(9)-THC	Chemical	D013759	Actually, it has been proposed by WHO that Delta(9)-THC should be rescheduled to schedule IV of the United Nations Convention on Psychotropic Drugs, as it does not constitute a substantial risk to public health and its abuse is rare if at all.
8142208	8	0	8	Steroids	Chemical	D013256	Steroids alone were given to 10 patients and 2 received steroids and cyclophosphamide, with no beneficial effect.
8142208	8	56	64	steroids	Chemical	D013256	Steroids alone were given to 10 patients and 2 received steroids and cyclophosphamide, with no beneficial effect.
8142208	8	69	85	cyclophosphamide	Chemical	D003520	Steroids alone were given to 10 patients and 2 received steroids and cyclophosphamide, with no beneficial effect.
8142208	14	0	8	Steroids	Chemical	D013256	Steroids and other immunosuppressive therapy are of no benefit.
7908546	1	61	65	cAMP	Chemical	CHEBI:17489	A variety of drugs known to act via increasing intracellular cAMP are used in the treatment of asthma.
7908546	3	159	163	cAMP	Chemical	CHEBI:17489	We determined whether phosphodiesterase inhibitors, either alone or in combination with adrenoceptor agonists, were able to alter the abundance of mRNA of the cAMP responsive gene c-fos in the cell-lines HL60 and U937.
7908546	4	54	67	aminophylline	Chemical	D000628	Incubation of cells with phosphodiesterase inhibitors aminophylline, theophylline or pentoxyphylline all resulted in an increase in c-fos mRNA.
7908546	4	69	81	theophylline	Chemical	D013806	Incubation of cells with phosphodiesterase inhibitors aminophylline, theophylline or pentoxyphylline all resulted in an increase in c-fos mRNA.
7908546	4	85	100	pentoxyphylline	Chemical		Incubation of cells with phosphodiesterase inhibitors aminophylline, theophylline or pentoxyphylline all resulted in an increase in c-fos mRNA.
7908546	5	113	126	aminophylline	Chemical	D000628	Further upregulation of c-fos mRNA abundance was observed when the cells were stimulated with the combination of aminophylline and adrenoceptor agonists with beta 2-agonist activity.
7908546	6	94	98	cAMP	Chemical	CHEBI:17489	These increases in c-fos mRNA were accompanied by increases in intracellular concentration of cAMP.
7908546	7	155	159	cAMP	Chemical	CHEBI:17489	These data suggest that in these in vitro models, combinations of beta 2-adrenoceptor agonists and phosphodiesterase inhibitors can increase intracellular cAMP and affect gene activation.
11448725	1	35	64	Delta(9)-tetrahydrocannabinol	Chemical	D013759	The active principle in marijuana, Delta(9)-tetrahydrocannabinol (THC), has been shown to have wide therapeutic application for a number of important medical conditions, including pain, anxiety, glaucoma, nausea, emesis, muscle spasms, and wasting diseases.
11448725	1	66	69	THC	Chemical	D013759	The active principle in marijuana, Delta(9)-tetrahydrocannabinol (THC), has been shown to have wide therapeutic application for a number of important medical conditions, including pain, anxiety, glaucoma, nausea, emesis, muscle spasms, and wasting diseases.
11448725	2	0	12	Delta(9)-THC	Chemical	D013759	Delta(9)-THC binds to and activates two known cannabinoid receptors found in mammalian tissue, CB1 and CB2.
11448725	4	45	57	Delta(9)-THC	Chemical	D013759	Like most of the known cannabinoid agonists, Delta(9)-THC is lipophilic and relatively nonselective for both receptor subtypes.
11448725	6	75	85	anandamide	Chemical	C078814	Recent studies of the biosynthesis, release, transport, and disposition of anandamide are beginning to provide an understanding of the role of lipid transmitters in the CNS.
21964678	3	16	24	silicone	Chemical	D012828	Currently, only silicone rubber-based silica nanocomposite implants are available in the United States.
21964678	3	38	44	silica	Chemical	D012822	Currently, only silicone rubber-based silica nanocomposite implants are available in the United States.
21964678	7	66	74	silicone	Chemical	D012828	It is also largely unnoticed that nanotechnology is involved: the silicone rubber shell is reinforced with nanosilica so implants appear to be homogeneous and crystal clear.
12453069	2	138	148	gadolinium	Chemical	D005682	Four double-blind trials in relapsing-remitting MS have demonstrated that IVIG may reduce the relapse rate, progression and the number of gadolinium-enhancing lesions.
12453069	3	93	100	acetate	Chemical	CHEBI:47622	However, these trials were smaller than the pivotal trials of interferon-beta and glatiramer acetate, and therefore, we performed a meta-analysis of the four trials in order to provide an overall assessment of the benefits of IVIG in relapsing-remitting multiple sclerosis in comparison with other drugs currently available for treatment of disease activity in MS.
7544228	0	10	20	procaterol	Chemical	D017265	Effect of procaterol, a beta 2-adrenoceptor agonist, on skin whealing response caused by inflammatory mediators in asthmatic children.
7544228	3	35	45	procaterol	Chemical	D017265	METHODS: We examined the effect of procaterol, a beta 2-adrenoceptor agonist, on skin whealing responses to histamine, platelet-activating factor (PAF), substance P, or bradykinin in eight asthmatic children in a double-blind, randomized, cross-over study.
7544228	3	108	117	histamine	Chemical	D006632	METHODS: We examined the effect of procaterol, a beta 2-adrenoceptor agonist, on skin whealing responses to histamine, platelet-activating factor (PAF), substance P, or bradykinin in eight asthmatic children in a double-blind, randomized, cross-over study.
7544228	3	169	179	bradykinin	Chemical	D001920	METHODS: We examined the effect of procaterol, a beta 2-adrenoceptor agonist, on skin whealing responses to histamine, platelet-activating factor (PAF), substance P, or bradykinin in eight asthmatic children in a double-blind, randomized, cross-over study.
7544228	4	23	33	procaterol	Chemical	D017265	Two hours after taking procaterol (50 micrograms) or placebo orally, the subjects were given these mediators intradermally at a concentration of 10(-5) M. RESULTS: Procaterol has a small but significant inhibitory effect on wheal formation following the intradermal injection of histamine and PAF by an average of 15% (P < .05) and 18% (P < .05) respectively but not against substance P or bradykinin.
7544228	4	164	174	Procaterol	Chemical	D017265	Two hours after taking procaterol (50 micrograms) or placebo orally, the subjects were given these mediators intradermally at a concentration of 10(-5) M. RESULTS: Procaterol has a small but significant inhibitory effect on wheal formation following the intradermal injection of histamine and PAF by an average of 15% (P < .05) and 18% (P < .05) respectively but not against substance P or bradykinin.
