pub_rel_id	broad_rel_type	conf_score	num_votes	percent_agree	match
drug_disease_210	positive	2.5845	3	1.0	1
drug_disease_211	positive	2.4999000000000002	3	0.7534130978572074	1
drug_disease_211	speculative	0.8182	1	0.24658690214279255	0
drug_disease_212	positive	2.4221	3	1.0	1
drug_disease_213	positive	1.6648	2	0.6894152724863343	1
drug_disease_213	speculative	0.75	1	0.3105847275136657	0
drug_disease_214	positive	2.5598	3	1.0	1
drug_disease_215	positive	5.2462	6	0.6901895778242623	1
drug_disease_215	negative	1.5549	2	0.20456249753325176	0
drug_disease_215	false	0.8	1	0.10524792464248596	0
drug_disease_216	positive	2.5078	3	1.0	1
drug_disease_217	positive	2.4833	3	1.0	1
drug_disease_218	positive	2.5078	3	1.0	1
drug_disease_219	positive	2.5873	3	1.0	0
drug_disease_22	positive	2.4148	3	1.0	1
drug_disease_220	positive	2.4221	3	1.0	1
drug_disease_221	positive	4.1666	5	0.5439922708341494	1
drug_disease_221	speculative	1.8745	2	0.24473515856540415	0
drug_disease_221	false	1.6182	2	0.21127257060044652	0
drug_disease_222	positive	3.2548	4	0.4444141019689232	0
drug_disease_222	negative	2.5113000000000003	3	0.342895764493842	1
drug_disease_222	false	0.8077	1	0.1102842786531582	0
drug_disease_222	speculative	0.75	1	0.10240585488407657	0
drug_disease_223	false	3.2879	4	0.44786345742579653	0
drug_disease_223	speculative	1.7692999999999999	2	0.24100636127116448	0
drug_disease_223	positive	1.5508	2	0.21124324029803984	1
drug_disease_223	negative	0.7333	1	0.0998869410049991	0
drug_disease_224	positive	2.85	3	1.0	1
drug_disease_225	positive	2.5589	3	1.0	1
drug_disease_226	positive	2.4148	3	1.0	1
drug_disease_227	positive	2.6836	3	1.0	0
drug_disease_228	positive	2.4892	3	1.0	0
drug_disease_229	positive	2.6209000000000002	3	1.0	0
drug_disease_23	positive	2.3778	3	1.0	1
drug_disease_230	positive	2.4148	3	1.0	1
drug_disease_231	positive	2.4833	3	1.0	1
drug_disease_232	positive	2.2778	3	0.7321526148307673	0
drug_disease_232	false	0.8333	1	0.2678473851692328	1
drug_disease_233	positive	2.85	3	1.0	0
drug_disease_234	positive	2.8611	3	0.7540322580645161	1
drug_disease_234	negative	0.9333	1	0.24596774193548387	0
drug_disease_235	positive	3.4438	4	0.8114897026250059	0
drug_disease_235	false	0.8	1	0.1885102973749941	1
drug_disease_236	positive	2.5598	3	1.0	1
drug_disease_237	speculative	2.7424	3	1.0	0
drug_disease_238	positive	2.4745	3	1.0	0
drug_disease_239	positive	2.4745	3	1.0	0
drug_disease_24	positive	2.5901	3	0.7640187605085396	1
drug_disease_24	false	0.8	1	0.2359812394914604	0
drug_disease_240	positive	2.609	3	1.0	1
drug_disease_241	positive	2.4848	3	1.0	1
drug_disease_242	positive	2.4004	3	1.0	1
drug_disease_243	positive	2.397	3	1.0	1
drug_disease_25	positive	2.6092	3	1.0	1
drug_disease_26	positive	1.7594	2	0.7075240278280452	1
drug_disease_26	false	0.7273	1	0.2924759721719548	0
drug_disease_27	positive	2.3788	3	1.0	1
drug_disease_28	positive	2.609	3	1.0	1
drug_disease_29	positive	2.5971	3	0.7570837220149254	1
drug_disease_29	false	0.8333	1	0.24291627798507462	0
drug_disease_3	negative	4.106199999999999	5	0.5530086731670527	0
drug_disease_3	false	3.319	4	0.4469913268329473	1
drug_disease_30	positive	2.4686	3	1.0	1
drug_disease_31	speculative	2.3042	3	0.7127567433803514	0
drug_disease_31	false	0.9286	1	0.2872432566196486	1
drug_disease_32	positive	2.6836	3	1.0	1
drug_disease_33	positive	3.9400999999999997	5	0.5367033086782994	1
drug_disease_33	speculative	3.4012000000000002	4	0.46329669132170054	0
drug_disease_34	positive	2.7424	3	1.0	1
drug_disease_35	positive	2.5455	3	0.7641390489913545	1
drug_disease_35	speculative	0.7857	1	0.23586095100864551	0
drug_disease_36	positive	2.6836	3	1.0	1
drug_disease_37	false	3.1163000000000003	4	0.4220226971100458	1
drug_disease_37	positive	2.5158	3	0.3407004143983099	0
drug_disease_37	speculative	1.7521	2	0.23727688849164433	0
drug_disease_38	positive	2.4245	3	1.0	1
drug_disease_39	positive	3.3362	4	0.4470919324577861	1
drug_disease_39	negative	2.5743	3	0.34498793889037793	0
drug_disease_39	speculative	0.8182	1	0.10964888769766819	0
drug_disease_39	false	0.7333	1	0.09827124095416778	0
drug_disease_4	negative	3.4528	4	0.4525650772013527	0
drug_disease_4	false	3.3195	4	0.4350931921251999	1
drug_disease_4	positive	0.8571	1	0.11234173067344745	0
drug_disease_40	speculative	4.979899999999999	6	0.6693593913814887	0
drug_disease_40	positive	1.6364	2	0.219952149251324	1
drug_disease_40	false	0.8235	1	0.11068845936718731	0
drug_disease_41	speculative	1.7332999999999998	2	0.6979825232553457	0
drug_disease_41	positive	0.75	1	0.3020174767446543	1
drug_disease_42	positive	2.4892	3	1.0	1
drug_disease_43	positive	2.3596	3	1.0	1
drug_disease_44	negative	2.4148	3	0.7188616337223148	0
drug_disease_44	false	0.9444	1	0.2811383662776852	0
drug_disease_45	speculative	3.1956	4	0.44342070573216585	0
drug_disease_45	positive	3.1929000000000003	4	0.44304605436607597	1
drug_disease_45	negative	0.8182	1	0.11353323990175807	0
drug_disease_46	positive	2.5245	3	0.7749094480938057	1
drug_disease_46	false	0.7333	1	0.22509055190619434	0
drug_disease_47	positive	2.3778	3	1.0	1
drug_disease_48	positive	2.5078	3	1.0	1
drug_disease_49	positive	4.2978000000000005	5	0.5679961937990644	0
drug_disease_49	speculative	3.2687999999999997	4	0.43200380620093565	1
drug_disease_5	positive	2.397	3	1.0	1
drug_disease_50	positive	2.4004	3	1.0	1
drug_disease_51	positive	2.3596	3	1.0	1
drug_disease_52	positive	2.5564	3	0.7376713316981677	1
drug_disease_52	speculative	0.9091	1	0.2623286683018323	0
drug_disease_53	positive	2.5598	3	1.0	1
drug_disease_54	positive	2.609	3	1.0	0
drug_disease_55	speculative	2.6836	3	1.0	1
drug_disease_56	positive	2.7424	3	1.0	1
drug_disease_57	positive	2.5515	3	0.75955584663015	0
drug_disease_57	speculative	0.8077	1	0.24044415336984995	0
drug_disease_58	positive	2.6092	3	1.0	0
drug_disease_59	positive	2.397	3	1.0	1
drug_disease_6	positive	2.85	3	1.0	1
drug_disease_60	positive	4.2496	5	0.718298908082891	0
drug_disease_60	false	0.8333	1	0.14085054595855445	1
drug_disease_60	speculative	0.8333	1	0.14085054595855445	0
drug_disease_61	positive	2.467	3	0.7277071472817911	0
drug_disease_61	false	0.9231	1	0.2722928527182089	1
drug_disease_62	positive	3.4886999999999997	4	0.4698459300759575	1
drug_disease_62	false	3.124	4	0.4207294079620751	0
drug_disease_62	speculative	0.8125	1	0.10942466196196735	0
drug_disease_63	positive	2.3596	3	1.0	1
drug_disease_64	positive	4.1098	5	0.556566723544866	1
drug_disease_64	false	2.4619	3	0.33340104547547467	0
drug_disease_64	negative	0.8125	1	0.11003223097965928	0
drug_disease_65	positive	4.2677	5	0.5565887631071	1
drug_disease_65	negative	2.5999	3	0.33907611247326414	0
drug_disease_65	false	0.8	1	0.10433512441963588	0
drug_disease_66	positive	4.068099999999999	5	0.5559412367611889	0
drug_disease_66	false	2.4312	3	0.33224461906388797	1
drug_disease_66	negative	0.8182	1	0.11181414417492315	0
drug_disease_67	positive	3.5426	4	1.0	0
drug_disease_68	positive	4.1262	5	0.5311655209701088	0
drug_disease_68	false	3.6420000000000003	4	0.4688344790298911	1
drug_disease_69	positive	2.609	3	1.0	1
drug_disease_7	positive	2.6836	3	1.0	1
drug_disease_70	positive	2.4245	3	1.0	1
drug_disease_71	speculative	1.7332999999999998	2	0.6979825232553457	1
drug_disease_71	positive	0.75	1	0.3020174767446543	0
drug_disease_72	speculative	4.310700000000001	5	0.5677726117250372	1
drug_disease_72	positive	3.2816	4	0.43222738827496276	0
drug_disease_73	speculative	4.180899999999999	5	0.5403424878836833	1
drug_disease_73	positive	1.8643	2	0.24094345718901458	0
drug_disease_73	false	0.9231	1	0.1193021001615509	0
drug_disease_73	negative	0.7692	1	0.09941195476575122	0
drug_disease_74	speculative	1.8397999999999999	2	0.7051743963204292	1
drug_disease_74	positive	0.7692	1	0.2948256036795707	0
drug_disease_75	positive	2.5598	3	1.0	0
drug_disease_76	positive	2.7424	3	1.0	0
drug_disease_77	positive	2.3034	3	1.0	1
drug_disease_78	positive	2.5245	3	0.7749094480938057	1
drug_disease_78	false	0.7333	1	0.22509055190619434	0
drug_disease_79	positive	2.7424	3	1.0	1
drug_disease_8	positive	2.3596	3	1.0	1
drug_disease_80	positive	2.6322	3	1.0	0
drug_disease_81	positive	2.6092	3	1.0	1
drug_disease_82	positive	2.3788	3	1.0	1
drug_disease_83	positive	2.5983	3	1.0	1
drug_disease_84	positive	2.397	3	1.0	1
drug_disease_85	speculative	2.5421	3	1.0	1
drug_disease_86	positive	4.1326	5	0.8307234607111986	0
drug_disease_86	speculative	0.8421	1	0.16927653928880132	0
drug_disease_87	positive	2.6209000000000002	3	1.0	0
drug_disease_88	positive	2.4148	3	1.0	0
drug_disease_89	positive	2.3743	3	0.7631705827520812	0
drug_disease_89	false	0.7368	1	0.23682941724791876	1
drug_disease_9	positive	2.7655000000000003	3	0.775627541719254	0
drug_disease_9	false	0.8	1	0.22437245828074603	1
drug_disease_90	speculative	2.3596	3	1.0	1
drug_disease_91	positive	2.5421	3	1.0	0
drug_disease_92	positive	2.5879	3	1.0	0
drug_disease_93	positive	2.609	3	1.0	1
drug_disease_94	positive	2.4558999999999997	3	0.7466557217560501	0
drug_disease_94	speculative	0.8333	1	0.25334427824394995	0
drug_disease_95	positive	4.9582	6	0.668671611598112	1
drug_disease_95	speculative	1.6568	2	0.2234389750505732	0
drug_disease_95	false	0.8	1	0.10788941335131493	0
drug_disease_96	positive	2.5126	3	1.0	1
drug_disease_97	positive	2.85	3	1.0	1
drug_disease_98	positive	2.4564000000000004	3	1.0	1
drug_disease_99	positive	4.4928	5	0.5893665306764965	1
drug_disease_99	false	1.6278	2	0.21353517597827654	0
drug_disease_99	negative	1.5025	2	0.197098293345227	0
