pub_rel_id	deep_semantics	conf_score	num_votes	percent_agree
drug_disease_151	may_cause	0.7692	1	0.32090112640801005
drug_disease_153	may_cause	2.6322	3	1.0
drug_disease_154	used_to_treat	1.6745	2	0.6767023641139625
drug_disease_154	may_cause	0.8	1	0.3232976358860376
drug_disease_155	used_to_treat	2.5879	3	1.0
drug_disease_156	used_to_treat	2.6209000000000002	3	1.0
drug_disease_157	used_to_treat	2.3778	3	1.0
drug_disease_158	used_to_treat	2.6744	3	1.0
drug_disease_159	may_cause	1.8014999999999999	2	0.6904415146405029
drug_disease_159	used_to_treat	0.8077	1	0.30955848535949715
drug_disease_160	may_cause	2.3596	3	1.0
drug_disease_161	may_cause	2.5421	3	1.0
drug_disease_163	may_cause	2.5873	3	1.0
drug_disease_164	may_cause	2.5971	3	1.0
drug_disease_165	may_cause	2.5078	3	1.0
drug_disease_166	used_to_treat	2.5598	3	1.0
drug_disease_167	used_to_treat	1.8503	2	0.6894842748546728
drug_disease_167	may_cause	0.8333	1	0.31051572514532716
drug_disease_168	used_to_treat	0.8571	1	0.5148366170110523
drug_disease_168	may_cause	0.8077	1	0.48516338298894757
drug_disease_169	may_cause	1.7666	2	0.6883035923010986
drug_disease_169	used_to_treat	0.8	1	0.3116964076989013
drug_disease_170	may_cause	1.6559	2	0.6652338100594568
drug_disease_170	used_to_treat	0.8333	1	0.3347661899405432
drug_disease_172	may_cause	2.5666	3	1.0
drug_disease_175	may_cause	3.3668	4	1.0
drug_disease_176	used_to_treat	2.4221	3	1.0
drug_disease_177	used_to_treat	2.5078	3	1.0
drug_disease_178	used_to_treat	2.5879	3	1.0
drug_disease_179	used_to_treat	2.397	3	1.0
drug_disease_180	used_to_treat	2.397	3	1.0
drug_disease_181	used_to_treat	2.6039	3	1.0
drug_disease_184	used_to_treat	2.397	3	1.0
drug_disease_185	used_to_treat	2.609	3	1.0
drug_disease_186	used_to_treat	2.5879	3	1.0
drug_disease_187	used_to_treat	2.7424	3	1.0
drug_disease_188	may_cause	2.5598	3	1.0
drug_disease_189	may_cause	2.4892	3	1.0
drug_disease_19	used_to_treat	2.4833	3	1.0
drug_disease_191	used_to_treat	2.5509	3	1.0
drug_disease_192	may_cause	1.6947999999999999	2	0.69972338053755
drug_disease_192	used_to_treat	0.7273	1	0.30027661946244993
drug_disease_193	used_to_treat	2.4004	3	1.0
drug_disease_194	used_to_treat	1.7308	2	0.6688048224429074
drug_disease_194	may_cause	0.8571	1	0.33119517755709266
drug_disease_195	used_to_treat	2.5483000000000002	3	1.0
drug_disease_196	used_to_treat	1.8517000000000001	2	1.0
drug_disease_197	may_cause	2.5666	3	1.0
drug_disease_20	used_to_treat	2.6092	3	1.0
drug_disease_201	used_to_treat	2.4696	3	1.0
drug_disease_204	used_to_treat	2.6696	3	1.0
drug_disease_206	used_to_treat	4.1178	5	1.0
drug_disease_207	used_to_treat	2.4867	3	1.0
drug_disease_208	used_to_treat	3.2009000000000003	4	1.0
drug_disease_209	used_to_treat	1.7308	2	0.6688048224429074
drug_disease_209	may_cause	0.8571	1	0.33119517755709266
drug_disease_21	used_to_treat	2.3788	3	1.0
drug_disease_210	used_to_treat	2.5845	3	1.0
drug_disease_211	may_cause	1.6666	2	0.6666666666666666
drug_disease_211	used_to_treat	0.8333	1	0.3333333333333333
drug_disease_212	used_to_treat	2.4221	3	1.0
drug_disease_213	other	0.8571	1	0.5148366170110523
drug_disease_213	used_to_treat	0.8077	1	0.48516338298894757
drug_disease_214	used_to_treat	2.5598	3	1.0
drug_disease_215	used_to_treat	5.2462	6	1.0
drug_disease_216	may_cause	1.7745000000000002	2	0.7075923119866019
drug_disease_216	used_to_treat	0.7333	1	0.29240768801339817
drug_disease_217	may_cause	2.4833	3	1.0
drug_disease_218	may_cause	2.5078	3	1.0
drug_disease_22	used_to_treat	1.6071	2	0.6655209541162829
drug_disease_22	may_cause	0.8077	1	0.3344790458837171
drug_disease_220	may_cause	2.4221	3	1.0
drug_disease_221	may_cause	4.1666	5	1.0
drug_disease_224	used_to_treat	2.85	3	1.0
drug_disease_225	may_cause	1.6498	2	0.6447301574895463
drug_disease_225	other	0.9091	1	0.35526984251045374
drug_disease_226	may_cause	2.4148	3	1.0
drug_disease_23	used_to_treat	2.3778	3	1.0
drug_disease_230	may_cause	2.4148	3	1.0
drug_disease_231	used_to_treat	1.7332999999999998	2	0.6979825232553457
drug_disease_231	may_cause	0.75	1	0.3020174767446543
drug_disease_234	may_cause	2.8611	3	1.0
drug_disease_236	used_to_treat	2.5598	3	1.0
drug_disease_24	used_to_treat	2.5901	3	1.0
drug_disease_240	used_to_treat	1.8397999999999999	2	0.7051743963204292
drug_disease_240	may_cause	0.7692	1	0.2948256036795707
drug_disease_241	used_to_treat	2.4848	3	1.0
drug_disease_242	may_cause	2.4004	3	1.0
drug_disease_243	may_cause	2.397	3	1.0
drug_disease_25	used_to_treat	1.8014999999999999	2	0.6904415146405029
drug_disease_25	may_cause	0.8077	1	0.30955848535949715
drug_disease_26	used_to_treat	0.9412	1	0.5349550983289758
drug_disease_26	other	0.8182	1	0.4650449016710242
drug_disease_27	used_to_treat	1.6515	2	0.694257608878426
drug_disease_27	other	0.7273	1	0.30574239112157386
drug_disease_28	used_to_treat	2.609	3	1.0
drug_disease_29	used_to_treat	1.6559	2	0.6375957799083593
drug_disease_29	may_cause	0.9412	1	0.36240422009164064
drug_disease_30	used_to_treat	1.6503999999999999	2	0.6685570768856842
drug_disease_30	may_cause	0.8182	1	0.33144292311431583
drug_disease_32	used_to_treat	1.8503	2	0.6894842748546728
drug_disease_32	may_cause	0.8333	1	0.31051572514532716
drug_disease_33	used_to_treat	3.1068	4	0.7885079058907134
drug_disease_33	may_cause	0.8333	1	0.2114920941092866
drug_disease_34	used_to_treat	2.7424	3	1.0
drug_disease_35	used_to_treat	2.5455	3	1.0
drug_disease_36	used_to_treat	1.8503	2	0.6894842748546728
drug_disease_36	may_cause	0.8333	1	0.31051572514532716
drug_disease_38	used_to_treat	0.9412	1	0.38820375335120644
drug_disease_38	may_cause	0.75	1	0.30934213239843267
drug_disease_38	other	0.7333	1	0.30245411425036084
drug_disease_39	used_to_treat	1.6904	2	0.5066842515436725
drug_disease_39	other	0.8333	1	0.24977519333373302
drug_disease_39	may_cause	0.8125	1	0.2435405551225946
drug_disease_42	used_to_treat	1.6559	2	0.6652338100594568
drug_disease_42	may_cause	0.8333	1	0.3347661899405432
drug_disease_43	used_to_treat	2.3596	3	1.0
drug_disease_46	used_to_treat	2.5245	3	1.0
drug_disease_47	used_to_treat	2.3778	3	1.0
drug_disease_48	used_to_treat	2.5078	3	1.0
drug_disease_5	may_cause	2.397	3	1.0
drug_disease_50	used_to_treat	1.6503999999999999	2	0.6875520746542243
drug_disease_50	may_cause	0.75	1	0.3124479253457757
drug_disease_51	used_to_treat	2.3596	3	1.0
drug_disease_52	used_to_treat	2.5564	3	1.0
drug_disease_53	may_cause	2.5598	3	1.0
drug_disease_55	may_cause	2.6836	3	1.0
drug_disease_56	may_cause	1.7424	2	0.6353558926487748
drug_disease_56	used_to_treat	1.0	1	0.3646441073512252
drug_disease_59	may_cause	1.6113	2	0.672215269086358
drug_disease_59	used_to_treat	0.7857	1	0.3277847309136421
drug_disease_6	used_to_treat	2.85	3	1.0
drug_disease_62	may_cause	3.4886999999999997	4	1.0
drug_disease_63	may_cause	1.5025	2	0.6367604678759111
drug_disease_63	used_to_treat	0.8571	1	0.3632395321240888
drug_disease_64	other	3.2636	4	0.7941019027689912
drug_disease_64	used_to_treat	0.8462	1	0.2058980972310088
drug_disease_65	used_to_treat	4.2677	5	1.0
drug_disease_69	used_to_treat	2.609	3	1.0
drug_disease_7	used_to_treat	1.8503	2	0.6894842748546728
drug_disease_7	may_cause	0.8333	1	0.31051572514532716
drug_disease_70	may_cause	2.4245	3	1.0
drug_disease_71	used_to_treat	1.7332999999999998	2	1.0
drug_disease_72	used_to_treat	4.310700000000001	5	1.0
drug_disease_73	used_to_treat	4.180899999999999	5	1.0
drug_disease_74	may_cause	0.9231	1	0.5017393194912491
drug_disease_74	used_to_treat	0.9167	1	0.49826068050875094
drug_disease_77	used_to_treat	2.3034	3	1.0
drug_disease_78	may_cause	1.6912	2	0.669914834620717
drug_disease_78	used_to_treat	0.8333	1	0.330085165379283
drug_disease_79	used_to_treat	2.7424	3	1.0
drug_disease_8	may_cause	2.3596	3	1.0
drug_disease_81	may_cause	1.8014999999999999	2	0.6904415146405029
drug_disease_81	used_to_treat	0.8077	1	0.30955848535949715
drug_disease_82	may_cause	1.6515	2	0.694257608878426
drug_disease_82	other	0.7273	1	0.30574239112157386
drug_disease_83	may_cause	2.5983	3	1.0
drug_disease_84	may_cause	2.397	3	1.0
drug_disease_85	may_cause	2.5421	3	1.0
drug_disease_90	other	1.5903999999999998	2	0.6740125444990676
drug_disease_90	may_cause	0.7692	1	0.3259874555009324
drug_disease_93	used_to_treat	2.609	3	1.0
drug_disease_95	used_to_treat	4.1011	5	0.8271348473236255
drug_disease_95	other	0.8571	1	0.1728651526763745
drug_disease_96	used_to_treat	2.5126	3	1.0
drug_disease_97	may_cause	2.85	3	1.0
drug_disease_98	used_to_treat	2.4564000000000004	3	1.0
drug_disease_99	used_to_treat	4.4928	5	1.0
